Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Debito;21/08/2020;Direitos de Subscrição - Não Exercido;MXRF12       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;0;-;-
Credito;21/08/2020;Recibo de Subscrição;MXRF13       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;71;-;-
Debito;21/08/2020;Recibo de Subscrição;MXRF13       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;71;-;-
Credito;20/08/2020;Juros Sobre Capital Próprio;BIDI4        - BANCO INTER S/A;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;4; RR$	0,02 ; RR$	0,08 
Credito;20/08/2020;Juros Sobre Capital Próprio;BIDI4        - BANCO INTER S/A;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;22; RR$	0,01 ; RR$	0,20 
Debito;20/08/2020;Solicitação de Subscrição;MXRF12       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;71;-;-
Debito;20/08/2020;Direitos de Subscrição - Excercído;MXRF12       - MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIARIO - FII;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;71;-;-
Credito;18/08/2020;Transferência - Liquidação;ITSA4        - ITAUSA S/A;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;6; RR$	9,94 ; RR$	59,64 
Credito;17/08/2020;Atualização;CVCB11       - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Credito;17/08/2020;Atualização;CVCB9        - CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;15;-;-
Credito;17/08/2020;Transferência - Liquidação;STBP3        - SANTOS BRASIL PARTICIPACOES SA;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;6; RR$	5,31 ; RR$	31,86 
Credito;17/08/2020;Transferência - Liquidação;VVAR3        - VIA VAREJO S.A.;INTER DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA;99; RR$	19,31 ; RR$	1.911,69 
