Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Debito;22/04/2020;Transferência - Liquidação;TIET3 - AES TIETE ENERGIA SA                              ;INTER DTVM LTDA;1; RR$	3,56 ; RR$	3,56 
Credito;20/04/2020;Transferência - Liquidação;ITSA4 - ITAUSA INVESTIMENTOS ITAU S.A.                    ;INTER DTVM LTDA;28; RR$	9,08 ; RR$	254,24 
Credito;17/04/2020;Rendimento;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	0,60 ; RR$	7,20 
Debito;16/04/2020;Transferência - Liquidação;BRKM5 - BRASKEM S.A.                                      ;INTER DTVM LTDA;30; RR$	20,10 ; RR$	603,00 
Debito;16/04/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;49; RR$	11,72 ; RR$	574,28 
Credito;16/04/2020;Transferência - Liquidação;SULA11 - SUL AMERICA S.A.                                  ;INTER DTVM LTDA;27; RR$	43,98 ; RR$	1.187,46 
Credito;15/04/2020;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS    ;INTER DTVM LTDA;27; RR$	0,40 ; RR$	10,80 
Credito;15/04/2020;Rendimento;LGCP11 - LOGCP INTER FDO INV IMOB                          ;INTER DTVM LTDA;2; RR$	0,45 ; RR$	0,90 
Credito;09/04/2020;Transferência - Liquidação;AZUL4 - AZUL S.A.                                         ;INTER DTVM LTDA;104; RR$	17,66 ; RR$	1.836,64 
Debito;09/04/2020;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S.A.                               ;INTER DTVM LTDA;22; RR$	42,00 ; RR$	924,00 
Credito;08/04/2020;Transferência - Liquidação;GOLL4 - GOL LINHAS AEREAS INTELIGENTES S.A.               ;INTER DTVM LTDA;49; RR$	10,40 ; RR$	509,60 
Credito;08/04/2020;Transferência - Liquidação;MGFF11 - FDO INV IMOB MOGNO FUNDO DE FUNDOS                ;INTER DTVM LTDA;12; RR$	83,48 ; RR$	1.001,76 
